"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2013","9,290.07","9,297.65","9,316.62","9,287.30","85.11M","-0.11%"
"Nov 25, 2013","9,299.95","9,258.22","9,323.44","9,252.73","69.94M","0.88%"
"Nov 22, 2013","9,219.04","9,210.69","9,230.16","9,168.92","72.24M","0.25%"
"Nov 21, 2013","9,196.08","9,127.89","9,210.67","9,117.09","78.79M","-0.07%"
"Nov 20, 2013","9,202.07","9,175.64","9,236.78","9,162.84","68.36M","0.10%"
"Nov 19, 2013","9,193.29","9,197.47","9,217.36","9,179.25","77.18M","-0.35%"
"Nov 18, 2013","9,225.43","9,154.23","9,253.68","9,140.51","88.83M","0.62%"
"Nov 15, 2013","9,168.69","9,157.60","9,188.47","9,133.51","96.78M","0.21%"
"Nov 14, 2013","9,149.66","9,137.48","9,151.35","9,101.29","108.72M","1.05%"
"Nov 13, 2013","9,054.83","9,056.71","9,074.56","8,981.09","92.47M","-0.24%"
"Nov 12, 2013","9,076.48","9,102.99","9,124.24","9,073.93","96.96M","-0.34%"
"Nov 11, 2013","9,107.86","9,081.58","9,124.24","9,064.61","66.64M","0.33%"
"Nov 08, 2013","9,078.28","9,036.59","9,079.05","8,986.49","86.78M","-0.03%"
"Nov 07, 2013","9,081.03","9,038.47","9,193.98","9,026.09","143.22M","0.44%"
"Nov 06, 2013","9,040.87","9,030.47","9,065.96","9,021.84","68.90M","0.35%"
"Nov 05, 2013","9,009.11","9,036.18","9,041.97","8,962.42","87.09M","-0.31%"
"Nov 04, 2013","9,037.23","9,035.91","9,053.93","9,019.31","60.97M","0.33%"
"Nov 01, 2013","9,007.83","9,032.29","9,048.10","8,992.90","54.23M","-0.29%"
"Oct 31, 2013","9,033.92","8,985.48","9,037.41","8,976.37","82.81M","0.26%"
"Oct 30, 2013","9,010.27","9,030.31","9,070.17","8,996.25","69.97M","-0.13%"
"Oct 29, 2013","9,022.04","8,965.75","9,022.21","8,965.75","76.42M","0.48%"
"Oct 28, 2013","8,978.65","9,013.05","9,017.95","8,950.21","61.43M","-0.08%"
"Oct 25, 2013","8,985.74","8,952.78","9,010.65","8,944.14","71.22M","0.06%"
"Oct 24, 2013","8,980.63","8,968.50","8,987.04","8,950.81","76.69M","0.68%"
"Oct 23, 2013","8,919.86","8,906.91","8,932.91","8,897.50","79.94M","-0.31%"
"Oct 22, 2013","8,947.46","8,853.87","8,987.63","8,849.16","100.45M","0.90%"
"Oct 21, 2013","8,867.22","8,828.47","8,876.14","8,827.23","74.87M","0.02%"
"Oct 18, 2013","8,865.10","8,849.77","8,865.10","8,804.81","166.47M","0.60%"
"Oct 17, 2013","8,811.98","8,817.11","8,829.79","8,765.47","95.19M","-0.38%"
"Oct 16, 2013","8,846.00","8,792.99","8,861.28","8,781.00","92.34M","0.47%"
"Oct 15, 2013","8,804.44","8,757.13","8,820.98","8,757.09","93.81M","0.92%"
"Oct 14, 2013","8,723.81","8,688.45","8,727.58","8,675.95","64.14M","-0.01%"
"Oct 11, 2013","8,724.83","8,705.03","8,729.33","8,695.76","92.38M","0.45%"
"Oct 10, 2013","8,685.77","8,563.39","8,694.17","8,547.72","105.33M","1.99%"
"Oct 09, 2013","8,516.69","8,541.08","8,589.64","8,489.62","78.21M","-0.46%"
"Oct 08, 2013","8,555.89","8,591.02","8,610.01","8,551.69","77.44M","-0.42%"
"Oct 07, 2013","8,591.58","8,557.04","8,604.86","8,510.42","87.36M","-0.36%"
"Oct 04, 2013","8,622.97","8,590.91","8,639.74","8,570.21","85.01M","0.29%"
"Oct 03, 2013","8,597.91","8,647.86","8,654.79","8,590.46","49.87M","-0.37%"
"Oct 02, 2013","8,629.42","8,650.71","8,672.26","8,581.02","76.86M","-0.69%"
"Oct 01, 2013","8,689.14","8,618.59","8,691.85","8,612.23","83.40M","1.10%"
"Sep 30, 2013","8,594.40","8,562.85","8,606.71","8,546.72","78.81M","-0.77%"
"Sep 27, 2013","8,661.51","8,672.82","8,691.48","8,611.45","68.20M","-0.03%"
"Sep 26, 2013","8,664.10","8,678.82","8,688.49","8,628.61","88.92M","-0.02%"
"Sep 25, 2013","8,665.63","8,655.04","8,681.99","8,609.95","108.14M","0.01%"
"Sep 24, 2013","8,664.60","8,645.24","8,672.08","8,633.21","79.11M","0.34%"
"Sep 23, 2013","8,635.29","8,682.94","8,699.47","8,605.59","89.11M","-0.47%"
"Sep 20, 2013","8,675.73","8,693.32","8,713.78","8,666.49","249.59M","-0.21%"
"Sep 19, 2013","8,694.18","8,735.11","8,770.10","8,665.75","120.86M","0.67%"
"Sep 18, 2013","8,636.06","8,617.45","8,645.90","8,594.65","75.77M","0.45%"
"Sep 17, 2013","8,596.95","8,595.56","8,613.89","8,585.04","81.36M","-0.19%"
"Sep 16, 2013","8,613.00","8,599.65","8,626.11","8,578.01","87.86M","1.22%"
"Sep 13, 2013","8,509.42","8,461.31","8,518.18","8,456.84","76.22M","0.18%"
"Sep 12, 2013","8,494.00","8,509.49","8,516.98","8,466.61","102.39M","-0.02%"
"Sep 11, 2013","8,495.73","8,453.32","8,502.79","8,446.69","106.15M","0.58%"
"Sep 10, 2013","8,446.54","8,357.69","8,464.25","8,350.42","125.31M","2.06%"
"Sep 09, 2013","8,276.32","8,275.01","8,310.37","8,246.77","76.36M","0.01%"
"Sep 06, 2013","8,275.67","8,222.21","8,295.81","8,174.32","124.85M","0.49%"
"Sep 05, 2013","8,234.98","8,205.56","8,257.73","8,165.36","96.65M","0.48%"
"Sep 04, 2013","8,195.92","8,201.56","8,206.87","8,095.91","84.77M","0.19%"
"Sep 03, 2013","8,180.71","8,259.37","8,264.72","8,142.86","88.28M","-0.77%"
"Sep 02, 2013","8,243.87","8,224.34","8,268.73","8,211.03","66.69M","1.74%"
"Aug 30, 2013","8,103.15","8,197.72","8,201.49","8,101.95","86.45M","-1.12%"
"Aug 29, 2013","8,194.55","8,189.02","8,199.29","8,129.99","69.82M","0.45%"
"Aug 28, 2013","8,157.90","8,202.86","8,219.26","8,094.22","97.80M","-1.03%"
"Aug 27, 2013","8,242.56","8,378.93","8,423.78","8,242.56","106.54M","-2.28%"
"Aug 26, 2013","8,435.15","8,424.07","8,437.75","8,386.05","42.82M","0.22%"
"Aug 23, 2013","8,416.99","8,398.28","8,438.44","8,360.23","67.69M","0.23%"
"Aug 22, 2013","8,397.89","8,289.30","8,425.26","8,283.77","80.63M","1.36%"
"Aug 21, 2013","8,285.41","8,301.06","8,310.68","8,268.42","65.97M","-0.18%"
"Aug 20, 2013","8,300.03","8,294.87","8,319.82","8,246.19","84.50M","-0.79%"
"Aug 19, 2013","8,366.29","8,395.02","8,395.41","8,329.00","59.79M","-0.31%"
